,Target,features
334,1.0,"(108.66651153564453, 34.301647298613624, 530702, 60200, 0.0018402109297308092, 822.0162850394391, -0.40328813771734495, 0.3831209421277002, -0.5018855290321498, -0.7233108779270896, 2.147084137419198)"
335,0.0,"(115.46722984313965, 56.479925859552836, 524939, 58750, 0.00191118602775731, 817.5408817751755, -0.45935944756227276, -0.17657812489632763, -0.26502176086338425, 0.5567891055691714, 0.34995680227024945)"
336,1.0,"(125.11773014068604, 67.94054021644044, 520501, 32670, 0.006128203284989813, 814.0776721383513, -0.9206315153190967, -1.444455965911055, -1.9734742886426464, -4.10765766389419, -2.695409465835342)"
337,0.0,"(150.42761611938477, 68.12851979017852, 526400, 19426, 0.01752907405631999, 818.6777732103087, -1.2395660992351674, -0.5045955950631358, -1.4271763797885764, 2.8461690059456286, -1.5348251918730127)"
338,0.0,"(120.50691604614258, 51.89628201146481, 528584, 56085, 0.0021116912904228413, 820.3743362113976, 0.6071033347662269, 1.955958496696959, 3.72484450587551, 7.153692616712292, -4.703519958590479)"
339,1.0,"(118.0795726776123, 67.03702450661281, 526414, 41796, 0.003786760635491179, 818.688659810441, -0.7516819449564525, -0.29040887234356666, -1.3166055351753951, -2.3821838790232652, -0.7041601002899603)"
340,0.0,"(118.22854232788086, 56.81345339943364, 522591, 49111, 0.002722790555005745, 815.7104430634032, -0.8755796928235443, -1.5384184135188665, -2.5041265911062296, -5.123984855017464, -3.1931642024883935)"
341,0.0,"(130.2782154083252, 60.150451810499696, 530241, 44806, 0.003319027270200385, 821.6591808285948, -0.6151422238217052, -0.18378480995251067, -0.8385370407077943, -1.1614963602719852, 0.7283634006251988)"
342,1.0,"(111.65626907348633, 69.61488191889549, 523626, 32149, 0.006366432362442679, 816.5178074307347, -0.9068067232870812, -1.4580938025720573, -1.0471960365319033, -2.550923233610658, -0.6856072312479865)"
343,0.0,"(143.4047908782959, 58.666796955080464, 531723, 58472, 0.0019543368127335394, 822.8066300445172, -0.4601584018359727, -0.5851807873191814, -0.22856295266523255, -0.6032437683073687, -0.4581259807667454)"
344,0.0,"(156.61859512329102, 46.626835477406665, 542215, 47385, 0.0030345872024090084, 830.884817377581, -0.4465034908670419, -0.5124591016866764, -0.419325538087935, -0.39263107636526545, -0.5215834066940802)"
345,1.0,"(124.70171070098877, 67.57772888682334, 524717, 36322, 0.004997991241502943, 817.3679919074397, -0.8678893562888523, -1.534077216404565, -2.1832324431854353, -4.366467854744988, -2.939230994327932)"
346,1.0,"(163.56496620178223, 67.90333165612091, 522088, 31971, 0.006418612155681322, 815.3177830954576, -0.6735391209302852, -0.03723095724519947, -1.2653968628169177, -2.4495959318262877, 0.20558299109535394)"
347,0.0,"(147.39079666137695, 71.99090069217628, 528749, 28228, 0.008338716434566478, 820.5023680887049, -0.809452619705608, -0.9885661448603172, -1.0024070536055651, 2.3145559390416026, 1.4897834686325462)"
348,0.0,"(114.06381797790527, 52.35234464250224, 531588, 31470, 0.006745148987753822, 822.7021715704145, -0.82555100421936, -1.1838579348053657, -0.428879277484553, 0.7943593898536947, 0.02701970260497672)"
349,1.0,"(163.87754726409912, 42.83869192978351, 523334, 39696, 0.004173451021429127, 816.2901101351355, -0.9054741716930594, -1.5500547036389032, -0.6947993023799757, -1.920732255030647, -1.4601365165079825)"
350,0.0,"(111.60482025146484, 60.045115063647195, 528421, 37993, 0.004600264017627929, 820.2478366131174, -0.9341357345124728, -1.1681482783633117, -1.49219128195711, -2.5799587343232053, 1.311360765118633)"
351,0.0,"(164.76972198486328, 46.0065578072539, 526645, 38650, 0.004430256106196811, 818.8682678166555, -0.9596857960064976, -1.5665413337642158, -1.3941982587820934, -2.9302549096386423, -2.133330374457818)"
352,0.0,"(134.47425746917725, 63.310770620331695, 529936, 41729, 0.0038243473681890193, 821.42283349002, -0.5888257558766046, -1.071537615736579, -1.8612265242680954, -3.760296194452854, -2.3942608861470354)"
353,0.0,"(99.5204496383667, 39.382662066981865, 537026, 64968, 0.001598844331538332, 826.8994737880448, -0.1809832431248305, 0.2222073891316697, -0.06805601523857532, -0.09690498097620237, 0.0762666940044228)"
354,1.0,"(151.97159576416016, 58.38315714798933, 521817, 40119, 0.004074064393140308, 815.1061522986245, -0.7749153483729745, -0.9529340946109669, -1.8496757644863506, -3.8231842363671515, -2.2562549139730477)"
355,0.0,"(132.5798568725586, 46.35846924655791, 534626, 37122, 0.004875253545500248, 825.049674167308, -0.9099722735256404, -1.7055556934578968, -1.0940328617911153, -2.3678479008474627, -1.8649424927086826)"
356,1.0,"(103.63959121704102, 40.46465041856698, 523939, 68921, 0.0013860772983648572, 816.7618097272891, -0.6125383732698274, -0.7462546859640816, -1.046604117786236, -2.238766562802132, -1.4035402123361884)"
357,1.0,"(112.01747226715088, 65.34812944598767, 524936, 36559, 0.004935459650792448, 817.5385456693142, -0.8826870873902242, -0.875560784160773, -1.9758391078922555, -3.800287212994808, -2.3707602271496078)"
358,1.0,"(167.25399589538574, 58.54607865648172, 530339, 39149, 0.004348325867739103, 821.7351075105051, -0.8528880327798529, -1.3668279792386642, -1.469929746678909, -3.1415981036671092, -2.1445666015289016)"
359,1.0,"(160.97026348114014, 62.83873829928115, 520729, 44954, 0.003238060405920657, 814.2559517070763, -1.1240201492934123, -1.2151094401335296, -2.5192355766477825, 4.511847717679111, 2.9612638147169403)"
360,1.0,"(99.87019729614258, 43.931796758514295, 523152, 50778, 0.0025496852494207153, 816.1481570813536, 0.3711546105864306, 1.0843066854398784, 1.9513590098142497, 3.900449814782694, 2.587530232442032)"
361,1.0,"(97.70014190673828, 66.66513751562671, 519995, 43653, 0.003429105452769108, 813.6818770653314, 0.541670579530374, 1.2890979740795876, 3.614984240745522, 6.974602494219764, 4.5326441323009945)"
362,1.0,"(166.1993007659912, 67.79499573910302, 530972, 29132, 0.007862141960801542, 822.2253629918739, -0.8958130715550155, -1.309564778043284, -0.6745158671834067, 2.1029501362222662, 1.2204644185087103)"
363,1.0,"(110.142258644104, 34.01653867056531, 521629, 52064, 0.002418224013726567, 814.959306027398, 0.4914505684772468, 1.1349935852153665, 3.13174545040791, 6.175680603192005, 3.7024965073413068)"
364,0.0,"(121.37247371673584, 56.62672119436595, 530501, 54273, 0.002263228556368691, 821.8606035828391, -0.5111418901610315, 0.13494377647864084, -0.7534947300484949, 1.17412407974625, 1.209673628339545)"
365,1.0,"(108.26790237426758, 35.36294015718514, 525249, 55308, 0.0021577403843686966, 817.7822434074975, -0.4167477661676786, -0.15236101446324135, -0.6632502812943595, -1.4638318771627308, -0.29388315858249453)"
366,0.0,"(119.35165119171143, 52.63468647877988, 530689, 41275, 0.003914495389774179, 822.0062169813309, -0.9635527842219054, -1.7602218645551364, -1.6539175763608258, -3.3101922773982073, -2.4727169008748007)"
367,1.0,"(159.35129737854004, 49.622985562533216, 526735, 42239, 0.00371000748074475, 818.93823429858, -0.7320468130943558, -0.23604177562848583, 0.22542924922854163, -1.0993128596155246, -0.8951601865644183)"
368,0.0,"(55.13496017456055, 80.6504910113903, 294536, 17779, 0.011709371599690526, 612.384587124885, 0.746199210949649, 4.046769759916931, 4.674938638325519, 9.684559915548208, -6.91477198233252)"
369,1.0,"(163.84216594696045, 59.78019437685559, 524303, 36576, 0.004924926906635041, 817.0454779406591, -0.8477214523163308, -0.8911423465278845, -1.5608629259535287, -3.3191849173540593, -1.9509068938384575)"
370,1.0,"(101.73859119415283, 66.58556228645807, 521356, 37789, 0.004587894695076431, 814.7460193734888, 0.4474382537729462, 1.015200955077077, 2.456791044888494, 4.804771378154226, 2.9676605322047274)"
371,1.0,"(119.79696273803711, 66.2609342323293, 525876, 34990, 0.005397657578559982, 818.270199156213, -1.0960359074984836, -1.8147458367628324, -1.8383034920232209, -3.774307145887503, -2.6428310743023316)"
372,0.0,"(117.73491764068604, 60.45803543283173, 530571, 34762, 0.0055175193148179254, 821.9148243520614, -0.9890729379208527, -0.07503004683292848, -2.32326109014095, -4.14028382843434, -2.3191859961412007)"
373,0.0,"(103.64202785491943, 57.38078606560102, 520321, 40629, 0.003961037480975791, 813.9368975271638, 0.17485738435120407, 1.1091705254165332, 0.8251536081777282, 1.6386891377445147, 1.6086084957226494)"
374,1.0,"(112.33930492401123, 67.91805464722367, 525518, 37993, 0.0045749914292123025, 817.991625305622, -1.4019271586823545, -2.6668552463152366, -2.7645749235570096, 3.620586821445789, 2.6801776459117908)"
375,1.0,"(138.3253755569458, 61.563036789792136, 527262, 47172, 0.0029776096066749303, 819.3478070002698, 0.22638210200409803, 1.0449697336988744, 1.372919320735626, -3.1002070123696184, -2.0666187325595837)"
376,1.0,"(108.73724937438965, 68.58757401053857, 520775, 34884, 0.005377834537958841, 814.2919156601362, 0.5759423902257885, 1.42882130990319, 4.11040623111928, -8.300725618946826, -4.95687693907496)"
377,0.0,"(81.10100555419922, 72.36317206403426, 483198, 58724, 0.0017607744677468683, 784.363947116988, -0.08180782845310747, 0.20392892031500506, 0.10904659495103321, 0.21599664724713688, 0.2852139774956597)"
378,0.0,"(117.14258289337158, 62.60195672184092, 527497, 25284, 0.010369033909830397, 819.5303777952128, -0.9216681711774116, -1.2207632673106057, -1.77560865754484, -2.552655753891928, 2.248009620958972)"
379,1.0,"(131.52639770507812, 61.98081702147405, 525502, 38840, 0.004377496371728487, 817.9791728628654, -0.9208280196957468, -1.4824810061801053, -0.9289765109790873, -2.142874529000658, -1.6333055368378693)"
380,0.0,"(153.71249675750732, 59.844602587211476, 525159, 21964, 0.013679738848887062, 817.7121780147177, -0.9000130527801803, -1.7297050656207698, -2.415263631153556, -4.8623004080719365, -3.280093403958801)"
381,1.0,"(116.17159271240234, 65.45653197903493, 519432, 42156, 0.003672990233023786, 813.2412699813475, -0.7704529823409347, -0.9837876853180123, -0.03009416717429211, -0.7065133312465665, -0.3917426108285042)"
382,0.0,"(108.28507709503174, 50.05191271296209, 532407, 47729, 0.002936898587044506, 823.3356826312181, -0.6760853541700339, -1.2491831099488948, -2.0813237857187215, -4.23491342947985, -2.6668768518663137)"
383,0.0,"(147.2726411819458, 58.214781588350434, 525736, 38710, 0.004408910044165045, 818.1612709551129, -1.1668568554770018, -2.242566430942352, -1.42460457844823, 3.282144004010798, 2.454491186067745)"
384,0.0,"(131.2777910232544, 48.69675737197298, 532341, 52566, 0.002420972847755431, 823.2846485170613, -0.8839854258565047, -1.0114143505015, -2.437374791040353, -4.539508063984943, -2.914606326410058)"
385,0.0,"(142.54789066314697, 60.916785067997814, 526504, 44346, 0.0033643613388508213, 818.7586416406499, -1.0639253832220341, -1.8868492420132383, -3.048446346965389, -6.230240166584412, -3.8912727527306874)"
386,0.0,"(109.63763618469238, 62.54638792193224, 530149, 35743, 0.005214657730359601, 821.5878963335583, -0.883341939593801, -1.3844011464715404, -1.6975396836342513, -3.0999141529145766, -2.265755918272581)"
387,1.0,"(112.79242038726807, 68.70413896871295, 524643, 34839, 0.005431782670767493, 817.3103538243536, 0.5355268989900425, 1.2633426991668388, 3.534527006799582, 6.777406382695642, 4.2110920012014486)"
388,1.0,"(112.98727035522461, 74.13058687409708, 520715, 31502, 0.006593768539425543, 814.2450058408526, -1.186786586234413, -1.9867631560255137, -3.482012808807715, -7.091353949242745, -4.375441567200205)"
389,0.0,"(159.20192527770996, 38.24138309373236, 527730, 12621, 0.041632655599467175, 819.7113546505791, -1.1427119174361782, -1.84227905785796, -2.7843598805416763, -5.830274036388286, -3.6775599217308956)"
390,1.0,"(130.17058181762695, 65.79041774317525, 529760, 41885, 0.0037946522979503826, 821.2864185038615, -0.5072075485195958, -0.3351955570968124, -1.1161861235866732, -2.234671658759181, -1.07342499652365)"
391,1.0,"(106.58837127685547, 34.61838398277288, 528520, 64767, 0.001583301882901366, 820.324669983433, 0.46571510229337165, 1.1095228773385548, 4.1182880424195725, 7.737477117872598, 4.695970387402552)"
392,0.0,"(167.50322914123535, 33.23917681808191, 530524, 34495, 0.00560276750139137, 821.8784193730102, -1.0288268058827656, -1.4997429458512868, -1.8345057981923956, -4.061677853121872, -2.3545918439816536)"
393,1.0,"(175.2472743988037, 52.98122961807564, 523943, 38930, 0.004344352924680218, 816.764927495773, -0.7867923170133779, -0.12529509794147817, -1.5535172405761546, 2.4683135605808664, -0.9846107320876538)"
394,0.0,"(108.54161930084229, 55.719831777670066, 533591, 47264, 0.0030016317641019196, 824.2506669180076, -0.683892737956775, -0.22117742585937264, -1.7921918927713005, 2.7972174989195975, -1.3749105304540763)"
395,1.0,"(113.08209705352783, 72.42505025756654, 528704, 34141, 0.005699936074208949, 820.4674522853783, -0.45833881300441515, -0.32962071171557017, -0.8047770532969165, -1.7643533471740889, -0.9352800362294287)"
396,1.0,"(126.15333557128906, 69.8651996222242, 523438, 31599, 0.00658761840303476, 816.3712150836064, -1.1804299163432888, -0.9882451904606906, -2.4303770133359914, 5.381132850784422, 2.9099938025191587)"
397,0.0,"(87.03586483001709, 58.5556951799784, 488744, 51433, 0.0023217079551308157, 788.8524501147489, 0.28564907684851826, 1.4563317821709365, 1.2558134939978236, 2.5894825514212663, 2.3930764612504953)"
398,0.0,"(115.08858966827393, 42.93379925811615, 538803, 40421, 0.004144057397563392, 828.2664344412008, -0.8152193046191696, -1.2831150506388558, -2.0776459423962796, -4.153986271787566, -2.6757975601927666)"
399,0.0,"(110.44716262817383, 58.92768226800103, 530255, 41827, 0.0038087389185569153, 821.6700279269919, -0.7015783167134166, -1.2986601916524618, -1.4170033475919028, -2.841658500065966, -2.05566770810072)"
400,0.0,"(112.51363563537598, 53.8666599220753, 533132, 44803, 0.0033375703172010213, 823.8960765556217, -0.6111106364864255, 0.36893605640025884, -1.0295659673782518, 2.1336630655956648, 0.8301009368355051)"
401,1.0,"(121.5850133895874, 63.945789173855815, 527317, 39892, 0.004163993241274677, 819.390539981462, -0.768887383038708, -1.115443963388421, -1.5194529116575721, -3.2192855285544697, -1.9538820550623757)"
402,1.0,"(160.8882074356079, 64.5906551772418, 521458, 31924, 0.006429757509834927, 814.8257154253961, -1.293256496716001, -2.156047222570985, -2.8391290961753755, 4.4177681625664365, 3.8244378066386955)"
403,1.0,"(116.24503326416016, 67.21679271885058, 519567, 35090, 0.005302548956667103, 813.3469435237428, 0.5145635325352215, 1.2078292277538505, 3.6362541201036396, 7.077872640713005, 4.313055156417079)"
404,1.0,"(169.10961627960205, 45.93353272617248, 523074, 44319, 0.003346517438145998, 816.0873124995882, 0.5835542795959384, 1.4769690454611029, 4.851356392649138, 9.440889646537107, 5.7956058680650555)"
405,1.0,"(104.06666469573975, 74.97359407930006, 511611, 38846, 0.004260466216541231, 807.0956304685965, -1.084050720148168, -2.0703765761480533, -1.6770935440963062, -3.530466360558639, -2.2377657584254225)"
406,1.0,"(172.2019281387329, 40.205686299682675, 528194, 48839, 0.0027827218721557913, 820.0716359513019, -0.9582431216364267, -1.6905744413689592, -1.6923111319705129, -3.249763088860281, -2.530247015951947)"
407,1.0,"(132.04228115081787, 73.83057085111038, 526916, 25460, 0.010214907815033977, 819.078926571593, -1.004820332488847, -1.8233631176093057, -0.759662027033863, 2.0022521972461584, 1.614439199953922)"
408,1.0,"(124.60648822784424, 71.0819365521529, 523251, 36542, 0.004924195699035163, 816.2253763650201, 0.22070170728164876, 1.8955916411459774, 0.520361898787967, 1.07715685639329, 1.5030657311499633)"
409,1.0,"(117.38391971588135, 66.07095352714511, 520502, 39528, 0.004186225172525568, 814.0784541515281, 0.37998185418643476, 1.6555128316897751, 1.631823092786636, 3.356211813389068, -2.602112119608558)"
410,1.0,"(113.40181350708008, 73.9675658847126, 517214, 37960, 0.004510531585945916, 811.5031225390649, -0.5906858673937174, 0.06536932769797514, -1.0728510197110652, 1.9168840908167992, 0.7618813957345143)"
411,1.0,"(94.58855152130127, 46.06787541493663, 515176, 56208, 0.002049128633126468, 809.9027445925111, 0.46579566903308967, 1.0679198823018983, 2.407813101320935, 4.739451580318294, 2.9468424088442418)"
412,0.0,"(108.6520938873291, 53.59748089552385, 521978, 63316, 0.0016361952298711384, 815.2318879201002, -0.38961795801084287, -0.5183058397775537, -0.954883792788879, -2.0473503437692897, -0.801231005658638)"
413,1.0,"(167.38939666748047, 50.29456286031628, 530467, 43989, 0.003444927269342868, 821.8342664899217, -0.4700674483589782, -0.3066113625689052, -0.868763374583178, -1.7168885362829904, -1.0150854586845084)"
414,1.0,"(109.25969982147217, 66.11717432254315, 518734, 33623, 0.005766093192289974, 812.6946794452698, -0.7843203368197383, -0.5135118968794272, -1.6767808544494145, -3.501966133437828, -1.8899439435808165)"
415,1.0,"(148.66590404510498, 64.79020640659475, 534079, 32557, 0.00633179151884343, 824.6274933644954, -0.9041832232492577, -1.0380167626510302, -1.3955254633982193, 2.666710850453981, 1.6556654476802979)"
416,0.0,"(128.76307678222656, 51.29867237941533, 528171, 53208, 0.002344393703641727, 820.0537809084935, -1.023217584004269, -1.8729954892046743, -2.417207593986972, -4.768255837044947, -3.3525638788716163)"
417,1.0,"(138.4380588531494, 54.519336900303955, 525091, 41619, 0.0038094401662131464, 817.6592357360928, -0.5476391935412125, 0.19668070542420926, -1.0349786133835546, -1.181668076937523, -0.28182017717667074)"
418,0.0,"(97.17472553253174, 58.27499451811949, 523085, 62538, 0.0016807153019327977, 816.095893420493, -0.3507825429132554, 0.9368891823968666, -0.266603016834269, 0.20699631162883766, -0.5032422767419955)"
419,0.0,"(135.47143077850342, 67.27638406447441, 517265, 43004, 0.0035148374989180473, 811.5431307745965, -1.1092463024649792, -2.104161491068723, -3.045154293935673, -6.1609345294851074, -4.027940637268548)"
420,0.0,"(127.91042995452881, 52.48129181175259, 531831, 32081, 0.0064936326696502355, 822.8901872765565, -1.3469254486282904, -2.6333694252871953, -2.022802290064046, -4.097959404671176, 2.4918205164277922)"
421,0.0,"(117.49229717254639, 53.29320204385223, 527158, 32277, 0.006358641514982365, 819.2669967254259, -0.9088704855381223, -1.0654648537382474, -0.24948974325178286, -1.377716078484179, 0.7045385840665206)"
422,0.0,"(100.38114070892334, 49.041936038964565, 529868, 79084, 0.0010646339258401753, 821.3701303856449, -0.27926164267535797, 0.33968940638446615, -0.17658391190543232, -0.22699888511922106, -0.005908797105183874)"
423,1.0,"(160.82234001159668, 59.49167173843695, 531066, 37747, 0.004683747557284866, 822.2981406183063, -0.7710983397423841, -1.1718466273007737, -1.6257611852928051, -3.132793565766515, -2.2096291622872095)"
424,1.0,"(163.63982963562012, 40.04735241804194, 524478, 43018, 0.003561530840130533, 817.181821838695, -0.7135754648766343, 0.13143957314692162, -1.8359864548906788, -3.2390353783389934, -1.7700961441273826)"
425,0.0,"(114.82224178314209, 60.29202485962498, 532215, 36608, 0.004990510446871219, 823.1872109679697, -0.5916503079522635, -0.627523120232688, -1.5263178125097623, -2.9928342469111, -1.7912269081058083)"
426,1.0,"(155.46023845672607, 60.5497456021715, 530904, 43603, 0.0035090787907438212, 822.1727113314312, -0.5003725160815501, 0.11526625529935715, -0.990001488295837, 1.4021724252776988, -0.9241668831364697)"
427,1.0,"(128.38686275482178, 66.63700642707391, 519394, 46318, 0.0030423361340908704, 813.2115223594506, 0.7836507855930543, 3.8471866365995275, 6.174265288761456, -11.486495948373728, -8.178899554085293)"
428,0.0,"(119.13421440124512, 62.977110106392225, 528029, 69966, 0.0013554813537626376, 819.9435368163855, 0.156631386372336, 1.3585345612747064, 0.8979057478832253, -2.081559519244111, -1.836758604162099)"
429,0.0,"(152.93208408355713, 53.64652377212009, 531807, 40373, 0.004099981244183469, 822.8716197360148, -0.8393225696897483, 0.29181832917242767, -0.5077239519727464, -1.8791759263109502, -0.12542779284115227)"
430,0.0,"(108.06057643890381, 56.57218030210847, 523821, 55430, 0.002142412098293546, 816.6698302023393, -0.789274781905881, -0.8664302991298234, -1.691855003290708, -3.040474309963809, -2.1206574758889105)"
431,0.0,"(110.82680416107178, 49.81215279028001, 531511, 28992, 0.007946314855097827, 822.6425856115955, -0.9457172652100793, -1.4875700826933924, -1.6126748454299564, 2.1251594339383755, 1.7101843186297585)"
432,1.0,"(136.32150268554688, 53.26735604111427, 520118, 43433, 0.00346475150453147, 813.7781058301847, 0.6188197994927639, 1.5579535650683924, 4.227375675070699, 8.846231475770903, 5.501347210652225)"
433,1.0,"(163.8285675048828, 47.01120412770063, 522573, 40232, 0.00405708013467301, 815.6963948742745, -0.37674861304864865, 1.041885453463944, -0.5512214538403573, 1.0284871936613824, -0.11724755886541732)"
434,0.0,"(119.47403812408447, 61.6463360111434, 520777, 63252, 0.0016357357101048982, 814.2934792742379, -0.49175515928758556, -0.6927275818716271, -0.1688564746471805, -0.43155236921754403, -0.026199128623744874)"
435,1.0,"(131.41446781158447, 71.75980491550669, 525907, 47217, 0.0029642991896472715, 818.2943170113277, -0.7450639793360019, -1.0003296486206072, -0.9636368665151935, -1.3421356585517754, -1.2180981643824105)"
436,0.0,"(112.86142921447754, 50.158424110591874, 532105, 58077, 0.0019824345352646385, 823.1021370105315, -0.5851483049672841, -1.0463804305538518, -2.228453416254213, -4.488035693127192, -2.7394605321573997)"
437,1.0,"(100.32106113433838, 40.81875916977768, 519843, 56227, 0.002066294595469037, 813.5629444940085, 0.5888780651853625, 1.5791328698568732, 3.567261010576019, -6.674401966893849, -4.998418036981871)"
438,1.0,"(118.88472652435303, 72.77688188199468, 527727, 30217, 0.00726300744501363, 819.7090247303937, -0.7963495525255827, -1.0683467218665854, -1.1942763650272294, -2.4082671874491104, -0.5139379544932223)"
439,0.0,"(163.52785778045654, 44.239461066703676, 529065, 44943, 0.0032915069657848297, 820.7475127804585, -0.7714676938759814, -1.3620459989645997, -2.3162463636398023, -4.6965274680991955, -2.9970477926159655)"
440,1.0,"(161.1604299545288, 45.447269223702946, 527083, 47266, 0.0029647711226939246, 819.2087151377503, -0.49111431478548484, -0.6080472741575785, -0.7440483520471018, -1.6878862048433534, -0.9324428470862097)"
441,1.0,"(92.74210357666016, 42.989000761314664, 503218, 49016, 0.0026320267372318905, 800.4480353043157, -0.5568331121942807, -0.8272340570789174, -0.4855010644565252, -1.2064733768791345, -0.8882539439801644)"
442,0.0,"(109.61557579040527, 50.45477246271417, 527819, 39237, 0.004308273787400521, 819.7804726038361, -0.7967008303308474, -1.0765676838441478, -0.49289775077755593, -1.4904478055958892, -0.7845005263785254)"
443,1.0,"(124.57121562957764, 72.15071715828495, 524445, 35306, 0.005287042232442611, 817.1561130155195, -0.8186237701438508, -1.3109406405908015, -1.648774786157217, -3.3299732911258233, -2.3040995997359115)"
444,0.0,"(111.27500820159912, 56.07776322404024, 529995, 48569, 0.002823340857253214, 821.4685584439081, -0.4751870969114258, -0.7266998425115152, -1.2160230256219975, -2.524303695218713, -1.578119976534821)"
445,0.0,"(121.40247917175293, 62.82378075654224, 523915, 58441, 0.0019276821213658586, 816.7431028664538, -0.5752140745045105, -0.9160655593978378, -2.0232647918110054, -4.110974174637797, -2.4601972241869143)"
446,1.0,"(137.15865898132324, 71.14489196099383, 530393, 33328, 0.006000523522249342, 821.7769416640486, -0.908953789735718, -1.4149327509130796, -0.9212564703647135, 2.2989256697711244, 1.6286607122532364)"
447,1.0,"(105.16203117370605, 71.67302622650078, 520255, 37935, 0.004543033611980335, 813.88527406889, -0.23268270941671892, 0.00059870371197215, -0.761402501550748, -1.2496733545400205, -0.737209877807907)"
448,0.0,"(110.26477909088135, 53.831107892958045, 529866, 71628, 0.0012978074626386487, 821.3685802431462, -0.4921873596200037, -0.5637252429279282, 0.12819650340330643, -0.1390919062888735, 0.6406541084200228)"
449,0.0,"(98.24249076843262, 68.30056763096367, 510163, 33212, 0.005812042258970175, 805.9526697398085, -0.6896104854256604, -1.10438977043169, -2.048600267363101, -4.064454041711312, -2.578655284879105)"
450,0.0,"(137.40046787261963, 65.94168142741272, 512172, 31777, 0.0063738216693206215, 807.5380140315982, -1.5165499789520547, -1.7892820672302123, -4.014875068256308, -7.251227352286603, -4.789103788447064)"
451,0.0,"(152.95863437652588, 47.19822234311867, 529075, 43437, 0.003523769230336095, 820.7552693286569, -0.7593070268698574, -1.094307912909977, -0.5235610698816497, 1.498638366353954, 1.0507324843122565)"
452,1.0,"(128.6370439529419, 67.30469800418798, 526784, 39126, 0.004324257412200395, 818.9763246478911, -0.7951556572846042, -0.3880679798818203, -1.6398819916848584, -3.4483708248180154, -1.6664178191430015)"
453,0.0,"(121.52312755584717, 60.178502370957005, 531309, 37571, 0.004729895302298736, 822.4862486836449, -0.8274787703783978, -1.5965047226667064, -2.0166190333166734, -3.9797488776469008, -2.8129794869326323)"
454,1.0,"(105.63428783416748, 68.15569345278172, 523727, 31345, 0.006698511072451967, 816.5965509635175, 0.49060656650960066, 1.1554216412112635, 3.1114471226464584, 6.071278721762005, 3.849350602305297)"
455,1.0,"(83.05370616912842, 67.65784487731715, 503777, 41085, 0.0037504347779277773, 800.8925009812779, -0.837144634141518, -1.4349158183266213, -2.521783516349949, -4.97236436120744, -3.2261406542287125)"
456,0.0,"(108.34813594818115, 41.26433849262238, 534477, 59657, 0.001887191905399054, 824.9346956889469, -0.6936638029835017, -0.9610358702552795, -0.8738228255396501, 1.9959194415492754, 1.352236833932857)"
457,0.0,"(136.9653263092041, 53.17099222786256, 529094, 63744, 0.0016363043156270977, 820.7700065682872, -0.5348575488470115, -0.27298161967871276, -0.7537817656817585, -1.2294086582756063, -0.7783965528953073)"
458,0.0,"(112.76653861999512, 52.37191530477744, 531185, 37536, 0.0047376141345260355, 822.3902647588598, 0.5979450983781063, 1.4937091503299365, 4.248783026445944, -9.292396080341058, -5.903331823643099)"
459,0.0,"(132.32385730743408, 55.13670132045664, 526791, 19675, 0.017100890596226503, 818.9817659817471, -0.9660966664188722, -1.7759060546707082, -2.2927919118762583, -4.589328957145269, -3.1589617506245977)"
460,1.0,"(123.37205219268799, 60.52249972532363, 522456, 35686, 0.005155417516483676, 815.6050757469293, -0.6161212213397931, -0.69631135371976, -1.7698825966210363, -3.4311931553043333, -2.1178953519956933)"
461,1.0,"(177.64150428771973, 37.4858537043024, 527362, 47803, 0.002900069402638426, 819.4255016721318, -1.252950353351902, -2.39952696822464, -2.4125913351630675, -4.900276328532672, -3.1089745582476693)"
462,1.0,"(110.25338459014893, 74.39050966313145, 515984, 32839, 0.006012654534569002, 810.5376198861027, -0.6371926656190785, 2.9276537821041946, -0.5181743750316719, 0.11966187302642939, -0.946089530718107)"
463,0.0,"(130.62120819091797, 53.67051583490676, 528955, 60632, 0.0018081098105100883, 820.6621859117112, -0.6663797812554171, -0.5171253585562423, -0.11725390922810085, 0.16117703582830573, -1.0769699641404598)"
464,0.0,"(158.5227394104004, 57.83421442294519, 531446, 15605, 0.027424673170969856, 822.5922824165829, -1.136712515894081, -2.1037092800359565, -2.6024620659034805, -5.276108385191868, -3.573357292858867)"
465,0.0,"(106.53311061859131, 66.21907616162724, 525020, 47959, 0.0028684380426399017, 817.6039541103352, 0.5716921572140579, 2.503776778538996, 2.85421329285189, 5.8093110418893295, -4.193284078110435)"
466,1.0,"(99.79545879364014, 70.9670784852311, 473163, 43187, 0.0031879725067270187, 776.1764249869509, 0.7836434871676542, 4.468789001631587, 6.634821588853909, 13.328630571436058, 9.037752443800244)"
467,0.0,"(111.06040000915527, 52.248954257135715, 533701, 66902, 0.0014984066046087763, 824.335622343655, -0.557435776432682, 0.13834814048745192, -1.0491538086479468, 1.8416013757605878, -0.9077569591130822)"
468,0.0,"(150.41152000427246, 60.214785680478705, 526595, 34444, 0.005577754998650349, 818.8293949656503, -0.8808689076766136, -0.8953503341170802, -2.343386090324001, -4.322368641160513, 1.4961134097215583)"
469,1.0,"(170.0620813369751, 47.36701243449181, 520324, 40162, 0.004053713568772272, 813.9392439701987, -1.055051882013499, -1.8201989386585826, -0.854726088538126, 1.1220454987644384, 0.22711827089659928)"
